symptoms,condition,natural_remedy,medicine,advice
"slight fatigue, watery eyes, stuffy nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"stuffy nose, watery eyes, slight fatigue",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"nasal congestion, sore throat, headache",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"headache, nasal congestion, sore throat",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"sneezing, mild fever, runny nose, cough",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"sneezing, runny nose, cough, mild fever",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"stuffy nose, watery eyes, slight fatigue",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"mild fever, runny nose, sneezing, cough",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"sore throat, nasal congestion, headache",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"watery eyes, stuffy nose, slight fatigue",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"headache, sore throat, nasal congestion",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"sneezing, cough, mild fever, runny nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"sneezing, mild fever, cough, runny nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"mild fever, runny nose, cough, sneezing",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"sneezing, cough, runny nose, mild fever",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"slight fatigue, stuffy nose, watery eyes",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"stuffy nose, watery eyes, slight fatigue",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"stuffy nose, slight fatigue, watery eyes",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"runny nose, sneezing, cough, mild fever",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"nasal congestion, headache, sore throat",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"stuffy nose, watery eyes, slight fatigue",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"stuffy nose, slight fatigue, watery eyes",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"sore throat, nasal congestion, headache",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"runny nose, sneezing, cough, mild fever",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"stuffy nose, slight fatigue, watery eyes",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"nasal congestion, headache, sore throat",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"nasal congestion, sore throat, headache",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"nasal congestion, headache, sore throat",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"nasal congestion, headache, sore throat",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"nasal congestion, headache, sore throat",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"sore throat, nasal congestion, headache",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"cough, mild fever, sneezing, runny nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"watery eyes, slight fatigue, stuffy nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"mild fever, cough, sneezing, runny nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"watery eyes, slight fatigue, stuffy nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"mild fever, cough, sneezing, runny nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"stuffy nose, slight fatigue, watery eyes",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
